,0,1,2
514,1822,"Barrie, J. M. (James Matthew)",31
515,1956,"Lin, Frank",31
516,1957,"Horn, Gertrude Franklin",31
517,1958,"Atherton, Gertrude Franklin Horn",31
518,2276,"Tuttle, Wilbur C.",31
519,2277,"Tuttle, Wilbur Coleman",31
520,2278,"Tuttle, W. C. (Wilbur C.)",31
521,2994,"Curwood, James Oliver",31
522,3153,"Rinehart, Mary Roberts",31
523,3249,"Wetherell, Elizabeth",31
524,3250,"Warner, Susan Bogert",31
525,3251,"Warner, Susan",31
526,4790,"Silverberg, Robert",31
527,4815,"Holmes, Mary Jane (Hawes)",31
528,4816,"Holmes, Mary Jane",31
529,5146,"Jerome, J. K.",31
530,5147,"Jerome, J.K.",31
531,5148,"Jerome, Jerome Clapp",31
532,6870,"Williamson, Charles Norris",31
533,6872,"Williamson, C. N. (Charles Norris)",31
534,793,"Hichens, Robert Smythe",30
535,794,"Hichens, Robert S. (Robert Smythe)",30
536,795,"Hichens, Robert",30
537,1093,"Stables, William Gordon",30
538,1094,"Stables, W. Gordon (William Gordon)",30
539,1095,"Gordon-Stables, W.",30
540,1096,"Stables, Gordon",30
541,1371,"Gloux, Olivier",30
542,1375,"Aimard, Gustave",30
543,1762,"Cobb, Irvin Shrewsbury",30
544,1763,"Cobb, Irvin S. (Irvin Shrewsbury)",30
545,1814,"Morley, Viscount",30
546,1815,"Morley, John",30
547,2696,"Roberts, Sir Charles George Douglas",30
548,2697,"Roberts, Charles George Douglas, Sir",30
549,2698,"Roberts, Sir Charles G. D.",30
550,2699,"Roberts, Charles G. D., Sir",30
551,3173,"Hall, Eugene Raymond",30
552,3174,"Hall, E. Raymond (Eugene Raymond)",30
553,153,"Hardy, Thomas",29
554,176,Πλάτων,29
555,177,Plato,29
556,564,"Farjeon, Benjamin Leopold",29
557,565,"Farjeon, B. L. (Benjamin Leopold)",29
558,908,"Tracy, Louis",29
559,1153,"Gaskell, E. C. (Elizabeth Cleghorn)",29
560,1154,"Gaskell, Mrs.",29
561,1155,"Gaskell, Elizabeth Cleghorn Stevenson",29
562,1156,"Stevenson, Elizabeth",29
563,1157,"Mills, Cotton Mather",29
564,1158,"Gaskell, Elizabeth C.",29
565,1159,"Gaskell, Elizabeth Cleghorn",29
566,4259,"Holinshed, Raphaell",29
567,4260,"Holinshead, Raphael",29
568,4261,"Holingshed, Raphael",29
569,4262,"Holynshed, Raphael",29
570,4263,"Holinshed, Ralph",29
571,4264,"Holinshed, Raphael",29
572,4493,"Gray, Zane",29
573,4494,"Gray, Pearl Zane",29
574,4495,"Grey, Zane",29
575,5199,John S. C. (John Stevens Cabot) Abbott,29
576,5200,"Abbott, John Stevens Cabot",29
577,5201,"Abbott, John S. C. (John Stevens Cabot)",29
578,5233,"Hornung, Ernest William",29
579,5234,"Hornung, E.W.",29
580,5235,"Hornung, E. W. (Ernest William)",29
581,5966,"Vandercook, Margaret O'Bannon Womack",29
582,5967,"Vandercook, Margaret",29
583,6513,"Weyman, Stanley J. (Stanley John)",29
584,6514,"Weyman, Stanley John",29
585,9,"Chapman, Allen",28
586,715,"Jokai, Maurus",28
587,716,"Jokai, Mor",28
588,717,"Jókai, Mór",28
589,935,"Orczy, Baroness Emmuska",28
590,936,"Barstow, Montagu, Mrs.",28
591,937,"Orczy, Emmuska Orczy, Baroness",28
592,1379,"Stacpoole, Henry De Vere",28
593,1380,"Stacpoole, H. De Vere (Henry De Vere)",28
594,1964,"Morris, William M.",28
595,1965,"Morris, William",28
596,2232,Josiah Allen's wife,28
597,2233,"Holley, Mariettta",28
598,2234,"Holley, Marietta",28
599,3231,Chautauqua Sunday School Teachers' Assembly,28
600,3232,"Chautauqua Institution, Chautauqua, N.Y.",28
601,3233,C.L.S.C.,28
602,3234,Chautauqua Institution,28
603,3235,Chautauqua Literary and Scientific Circle,28
604,4278,"King, Charles",28
605,5536,"Bickerstaff, Isaac",28
606,5834,"Cummings, Raymond King",28
607,5835,"King, Ray",28
608,5836,"Cummings, Ray",28
609,8112,"Leiber, Fritz Reuter",28
610,8113,"Leiber, Fritz",28
611,9415,"Nicholson, Meredith",28
612,12762,"Weymouth, R. F. (Richard Francis)",28
613,12763,"Weymouth, Richard Francis",28
614,14854,"Dembry, R. Emmett",28
615,14855,"Murfree, Mary Noailles",28
616,14856,"Craddock, Charles Egbert",28
617,955,"Crayon, Geoffrey",27
618,956,"Irving, Washington",27
619,2292,"Tarkington, Newton Booth",27
620,2293,"Tarkington, B. (Booth)",27
621,2294,"Van Loot, Cornelius Obenchain",27
622,2295,"Tarkington, Booth",27
623,2591,"Smith, F. Hopkinson (Francis Hopkinson)",27
624,2592,"Smith, Francis Hopkinson",27
625,3403,"Hough, Emerson",27
626,3658,"Maugham, William Somerset",27
627,3659,"Maugham, Somerset",27
628,3660,"Maugham, W. Somerset (William Somerset)",27
629,4318,"Vaknin, Sam",27
630,4319,"Vaknin, Shmuel",27
631,4320,"Vaknin, Samuel",27
632,4753,"Brazil, Angela",27
633,5641,"Barr, Amelia Edith Huddleston",27
634,5642,"Barr, Amelia E.",27
635,8333,"Mitford, Bertram",27
636,284,"Chekov, Anton Pavlovich",26
637,285,"Чехов, Антон Павлович",26
638,286,"Tchekhov, Anton",26
639,287,"Tshehov, Anton",26
640,288,"Tchekhoff, Anton",26
641,289,"Tschechow, Anton",26
642,290,"Tchekoff, Anton",26
643,291,"Chekhov, Anton Pavlovich",26
644,705,"Locke, William J. (William John)",26
645,706,"Locke, W. J. (William John)",26
646,707,"Locke, William John",26
647,1055,"Grile, Dod",26
648,1056,"Bierce, Ambrose",26
649,2630,"Nietzsche, Friedrich Wilhelm",26
650,3171,"Fletcher, John",26
651,4090,"Page, Thomas Nelson",26
652,5056,"Maitland, Thomas",26
653,5057,"Maitland, A. C. (Algernon Charles)",26
654,5058,"Swinburne, Algernon Charles",26
655,295,"Wilkins, Mary E. (Mary Eleanor)",25
656,296,"Freeman, Mary E. Wilkins (Mary Eleanor Wilkins)",25
657,297,"Wilkins, Mary Eleanor",25
658,298,"Wilkins, Mary Ella",25
659,299,"Freeman, Mary Eleanor Wilkins",25
660,341,"Baker, Frank",25
661,342,"Burton, R. F. (Richard F.), Sir",25
662,343,"Burton, Sir Richard Francis",25
663,344,"Burton, Richard F.",25
664,345,"Burton, Richard Francis, Sir",25
665,652,"Brinton, D. G. (Daniel Garrison)",25
666,653,"Brinton, Daniel Garrison",25
667,654,"Brinton, Daniel G. (Daniel Garrison)",25
668,1236,"Stevenson, Burton E.",25
669,1237,"Stevenson, Burton Egbert",25
670,2366,"Strindberg, Johan August",25
671,2367,"Strindberg, August",25
672,2841,"Raine, William McLeod",25
673,2842,"Raine, William MacLeod",25
674,2901,"Dodgson, Charles Lutwidge",25
675,2902,"Carroll, Lewis",25
676,3168,"Fletcher, Iohn",25
677,3169,"Flecher, John",25
678,3244,"Young, Clarence",25
