author_name,book_id
"Saunders, Marshall",13950
"Saunders, Marshall",52137
"DeVet, Charles V.",52127
"DeVet, Charles V.",62238
"Merwin, Samuel Kimball, Jr.",68701
"Merwin, Samuel Kimball, Jr.",60145
"Rinehart, Mary Roberts",56010
"Curwood, James Oliver",36070
"Kyne, Peter Bernard",50167
"Kyne, Peter Bernard",59090
"Kyne, Peter Bernard",44856
"Kyne, Peter Bernard",55167
"Kyne, Peter B. (Peter Bernard)",57248
"Nicholson, Meredith",39152
"Nicholson, Meredith",58966
"Ferber, Edna",6941
"Ferber, Edna",43239
"Service, Robert William",863
"Service, Robert William",58716
"Service, Robert W. (Robert William)",54862
"Hegan, Alice Caldwell",69426
"Hegan, Alice Caldwell",33791
"Hegan, Alice Caldwell",25310
"Hegan, Alice Caldwell",49607
"Rice, Alice Hegan",54859
"Morley, Viscount",58840
"Morley, Viscount",56549
"Morley, Viscount",883
"Morley, John",57966
"Morley, John",56350
"Ingraham, Joseph Holt",27122
"Ingraham, J. H. (Joseph Holt)",53862
"Graham, Roger Phillips",57988
"Graham, Roger Phillips",56832
"Browning, Craig",888
"Browning, Craig",68997
"Browning, Craig",64306
"Phillips, Rog",13394
"Parton, Sara Payson Willis",35643
"Fern, Fanny",54939
"Willis, Grata Payson",48716
"Penrose, Margaret",56129
"Penrose, Margaret",67380
"Paine, Albert Bigelow",42300
"Lawrence, D.H.",68719
"Lawrence, D.H.",59405
"Davison, Lawrence H. (Lawrence Herbert)",53791
"Davison, Lawrence H. (Lawrence Herbert)",67255
"Davison, Lawrence H. (Lawrence Herbert)",12168
"Lawrence, D. H. (David Herbert)",64660
