,0,1,2
522,1927,"Macaulay, T. Babington (Thomas Babington)",31
523,1928,"Macaulay, Thomas Babington",31
524,1929,"Macaulay, Thomas Babington Macaulay, Baron",31
525,1956,"Lin, Frank",31
526,1957,"Horn, Gertrude Franklin",31
527,1958,"Atherton, Gertrude Franklin Horn",31
528,2276,"Tuttle, Wilbur C.",31
529,2277,"Tuttle, Wilbur Coleman",31
530,2278,"Tuttle, W. C. (Wilbur C.)",31
531,2994,"Curwood, James Oliver",31
532,3153,"Rinehart, Mary Roberts",31
533,3249,"Wetherell, Elizabeth",31
534,3250,"Warner, Susan Bogert",31
535,3251,"Warner, Susan",31
536,4790,"Silverberg, Robert",31
537,4815,"Holmes, Mary Jane (Hawes)",31
538,4816,"Holmes, Mary Jane",31
539,5146,"Jerome, J. K.",31
540,5147,"Jerome, J.K.",31
541,5148,"Jerome, Jerome Clapp",31
542,6870,"Williamson, Charles Norris",31
543,6872,"Williamson, C. N. (Charles Norris)",31
544,7355,"Swift, J. (Jonathan)",31
545,7356,"Swift, Jonathan",31
546,176,Πλάτων,30
547,177,Plato,30
548,793,"Hichens, Robert Smythe",30
549,794,"Hichens, Robert S. (Robert Smythe)",30
550,795,"Hichens, Robert",30
551,1093,"Stables, William Gordon",30
552,1094,"Stables, W. Gordon (William Gordon)",30
553,1095,"Gordon-Stables, W.",30
554,1096,"Stables, Gordon",30
555,1153,"Gaskell, E. C. (Elizabeth Cleghorn)",30
556,1154,"Gaskell, Mrs.",30
557,1155,"Gaskell, Elizabeth Cleghorn Stevenson",30
558,1156,"Stevenson, Elizabeth",30
559,1157,"Mills, Cotton Mather",30
560,1158,"Gaskell, Elizabeth C.",30
561,1159,"Gaskell, Elizabeth Cleghorn",30
562,1371,"Gloux, Olivier",30
563,1375,"Aimard, Gustave",30
564,1814,"Morley, Viscount",30
565,1815,"Morley, John",30
566,2292,"Tarkington, Newton Booth",30
567,2293,"Tarkington, B. (Booth)",30
568,2294,"Van Loot, Cornelius Obenchain",30
569,2295,"Tarkington, Booth",30
570,2696,"Roberts, Sir Charles George Douglas",30
571,2697,"Roberts, Charles George Douglas, Sir",30
572,2698,"Roberts, Sir Charles G. D.",30
573,2699,"Roberts, Charles G. D., Sir",30
574,2901,"Dodgson, Charles Lutwidge",30
575,2902,"Carroll, Lewis",30
576,3173,"Hall, Eugene Raymond",30
577,3174,"Hall, E. Raymond (Eugene Raymond)",30
578,3938,"McGuinn, Jim",30
579,3939,"McGuinn, James Joseph",30
580,3940,"McGuinn, Roger",30
581,4493,"Gray, Zane",30
582,4494,"Gray, Pearl Zane",30
583,4495,"Grey, Zane",30
584,5233,"Hornung, Ernest William",30
585,5234,"Hornung, E.W.",30
586,5235,"Hornung, E. W. (Ernest William)",30
587,564,"Farjeon, Benjamin Leopold",29
588,565,"Farjeon, B. L. (Benjamin Leopold)",29
589,908,"Tracy, Louis",29
590,935,"Orczy, Baroness Emmuska",29
591,936,"Barstow, Montagu, Mrs.",29
592,937,"Orczy, Emmuska Orczy, Baroness",29
593,955,"Crayon, Geoffrey",29
594,956,"Irving, Washington",29
595,1055,"Grile, Dod",29
596,1056,"Bierce, Ambrose",29
597,2363,"Montgomery, Lucy Maud",29
598,2364,"MacDonald, Lucy Maud Montgomery",29
599,2365,"Montgomery, L. M. (Lucy Maud)",29
600,4259,"Holinshed, Raphaell",29
601,4260,"Holinshead, Raphael",29
602,4261,"Holingshed, Raphael",29
603,4262,"Holynshed, Raphael",29
604,4263,"Holinshed, Ralph",29
605,4264,"Holinshed, Raphael",29
606,5199,John S. C. (John Stevens Cabot) Abbott,29
607,5200,"Abbott, John Stevens Cabot",29
608,5201,"Abbott, John S. C. (John Stevens Cabot)",29
609,5966,"Vandercook, Margaret O'Bannon Womack",29
610,5967,"Vandercook, Margaret",29
611,6513,"Weyman, Stanley J. (Stanley John)",29
612,6514,"Weyman, Stanley John",29
613,9,"Chapman, Allen",28
614,715,"Jokai, Maurus",28
615,716,"Jokai, Mor",28
616,717,"Jókai, Mór",28
617,1379,"Stacpoole, Henry De Vere",28
618,1380,"Stacpoole, H. De Vere (Henry De Vere)",28
619,1964,"Morris, William M.",28
620,1965,"Morris, William",28
621,2232,Josiah Allen's wife,28
622,2233,"Holley, Mariettta",28
623,2234,"Holley, Marietta",28
624,2630,"Nietzsche, Friedrich Wilhelm",28
625,3231,Chautauqua Sunday School Teachers' Assembly,28
626,3232,"Chautauqua Institution, Chautauqua, N.Y.",28
627,3233,C.L.S.C.,28
628,3234,Chautauqua Institution,28
629,3235,Chautauqua Literary and Scientific Circle,28
630,4278,"King, Charles",28
631,5536,"Bickerstaff, Isaac",28
632,5834,"Cummings, Raymond King",28
633,5835,"King, Ray",28
634,5836,"Cummings, Ray",28
635,8112,"Leiber, Fritz Reuter",28
636,8113,"Leiber, Fritz",28
637,9415,"Nicholson, Meredith",28
638,12762,"Weymouth, R. F. (Richard Francis)",28
639,12763,"Weymouth, Richard Francis",28
640,14854,"Dembry, R. Emmett",28
641,14855,"Murfree, Mary Noailles",28
642,14856,"Craddock, Charles Egbert",28
643,284,"Chekov, Anton Pavlovich",27
644,285,"Чехов, Антон Павлович",27
645,286,"Tchekhov, Anton",27
646,287,"Tshehov, Anton",27
647,288,"Tchekhoff, Anton",27
648,289,"Tschechow, Anton",27
649,291,"Chekhov, Anton Pavlovich",27
650,2591,"Smith, F. Hopkinson (Francis Hopkinson)",27
651,2592,"Smith, Francis Hopkinson",27
652,3295,Æsop,27
653,3296,Aesop,27
654,3403,"Hough, Emerson",27
655,3658,"Maugham, William Somerset",27
656,3659,"Maugham, Somerset",27
657,3660,"Maugham, W. Somerset (William Somerset)",27
658,4318,"Vaknin, Sam",27
659,4319,"Vaknin, Shmuel",27
660,4320,"Vaknin, Samuel",27
661,4753,"Brazil, Angela",27
662,5641,"Barr, Amelia Edith Huddleston",27
663,5642,"Barr, Amelia E.",27
664,6679,"Evans, Mary Anne",27
665,6680,"Cross, Marian Evans",27
666,6681,"Evans, Marian",27
667,6682,"Cross, Mary Ann",27
668,6683,"Lewes, M. E. (Marian Evans)",27
669,6684,"Lewes, Marian Evans",27
670,6685,"Eliot, George",27
671,8333,"Mitford, Bertram",27
672,290,"Tchekoff, Anton",26
673,488,United States President (1861-1865),26
674,489,"Lincoln, Abe",26
675,490,"Lincoln, Abraham",26
676,652,"Brinton, D. G. (Daniel Garrison)",26
677,653,"Brinton, Daniel Garrison",26
678,654,"Brinton, Daniel G. (Daniel Garrison)",26
